file_path,model_name,chi2,alpha,teff,logg,fsed,met,plot_color,plot_ms,plot_alpha
/home/dylan/Research/Models/SonoraDiamondback/t2300g31f4_m+0.5_co1.0.spec,t2300g31f4_m+0.5_co1.0.spec,37695.34414421968,1.3157917910374915e-22,2300.0,3.5,4,0.5,xkcd:navy green,o,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1100g3160f3_m-0.5_co1.0.spec,t1100g3160f3_m-0.5_co1.0.spec,4079.400567785862,6.7298782862665556e-21,1100.0,5.5,3,-0.5,xkcd:robin's egg,v,0.333
/home/dylan/Research/Models/SonoraDiamondback/t2300g316f3_m+0.5_co1.0.spec,t2300g316f3_m+0.5_co1.0.spec,38954.04612843073,1.2584744604041214e-22,2300.0,4.5,3,0.5,xkcd:robin's egg,d,1.0
/home/dylan/Research/Models/SonoraDiamondback/t900g316f8_m+0.5_co1.0.spec,t900g316f8_m+0.5_co1.0.spec,55481.853368813114,4.292187036700726e-21,900.0,4.5,8,0.5,xkcd:royal blue,d,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1600g316f8_m-0.5_co1.0.spec,t1600g316f8_m-0.5_co1.0.spec,36726.05423718764,5.577551475505275e-22,1600.0,4.5,8,-0.5,xkcd:royal blue,d,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1300g31f2_m0.0_co1.0.spec,t1300g31f2_m0.0_co1.0.spec,14784.836084776829,2.104793631285288e-21,1300.0,3.5,2,0.0,xkcd:bright lavender,o,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1500g31f1_m0.0_co1.0.spec,t1500g31f1_m0.0_co1.0.spec,14927.845161253852,1.1270960595860296e-21,1500.0,3.5,1,0.0,xkcd:cherry,o,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1700g100f3_m-0.5_co1.0.spec,t1700g100f3_m-0.5_co1.0.spec,30566.83720847951,5.062020034748106e-22,1700.0,4.0,3,-0.5,xkcd:robin's egg,s,0.333
/home/dylan/Research/Models/SonoraDiamondback/t2100g3160nc_m-0.5_co1.0.spec,t2100g3160nc_m-0.5_co1.0.spec,45205.45674583112,1.5988307129039337e-22,2100.0,5.5,nc,-0.5,xkcd:faded orange,v,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1400g1000nc_m0.0_co1.0.spec,t1400g1000nc_m0.0_co1.0.spec,49781.26804481636,7.021710527597771e-22,1400.0,5.0,nc,0.0,xkcd:faded orange,P,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1400g1000nc_m-0.5_co1.0.spec,t1400g1000nc_m-0.5_co1.0.spec,55811.92824091134,5.862308800271927e-22,1400.0,5.0,nc,-0.5,xkcd:faded orange,P,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1100g3160f3_m0.0_co1.0.spec,t1100g3160f3_m0.0_co1.0.spec,4037.427095764687,6.846343685273263e-21,1100.0,5.5,3,0.0,xkcd:robin's egg,v,0.666
